2022-02-28 23:25:38.292 +08:00 [INF] Starting default Dispatcher
2022-02-28 23:25:38.348 +08:00 [INF] Starting the processing server.
2022-02-28 23:25:38.350 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleEto.Deleted
2022-02-28 23:25:38.350 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleNameChangedEto
2022-02-28 23:25:38.351 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Lion.AbpPro.NotificationManagement.Notifications.DistributedEvents.CreatedNotificationDistributedEvent
2022-02-28 23:25:38.362 +08:00 [INF] ### CAP started!
2022-02-28 23:25:38.371 +08:00 [INF] Loaded ABP modules:
2022-02-28 23:25:38.371 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-02-28 23:25:38.372 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-02-28 23:25:38.373 +08:00 [INF]     - Lion.AbpPro.AbpProApplicationContractsModule
2022-02-28 23:25:38.373 +08:00 [INF]       - Lion.AbpPro.AbpProDomainSharedModule
2022-02-28 23:25:38.374 +08:00 [INF]         - Volo.Abp.AuditLogging.AbpAuditLoggingDomainSharedModule
2022-02-28 23:25:38.375 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainSharedModule
2022-02-28 23:25:38.376 +08:00 [INF]         - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainSharedModule
2022-02-28 23:25:38.377 +08:00 [INF]           - Volo.Abp.Validation.AbpValidationModule
2022-02-28 23:25:38.378 +08:00 [INF]             - Volo.Abp.Validation.AbpValidationAbstractionsModule
2022-02-28 23:25:38.379 +08:00 [INF]             - Volo.Abp.Localization.AbpLocalizationModule
2022-02-28 23:25:38.380 +08:00 [INF]               - Volo.Abp.VirtualFileSystem.AbpVirtualFileSystemModule
2022-02-28 23:25:38.380 +08:00 [INF]               - Volo.Abp.Settings.AbpSettingsModule
2022-02-28 23:25:38.381 +08:00 [INF]                 - Volo.Abp.Localization.AbpLocalizationAbstractionsModule
2022-02-28 23:25:38.382 +08:00 [INF]                 - Volo.Abp.Security.AbpSecurityModule
2022-02-28 23:25:38.382 +08:00 [INF]                 - Volo.Abp.MultiTenancy.AbpMultiTenancyModule
2022-02-28 23:25:38.383 +08:00 [INF]                   - Volo.Abp.Data.AbpDataModule
2022-02-28 23:25:38.384 +08:00 [INF]                     - Volo.Abp.ObjectExtending.AbpObjectExtendingModule
2022-02-28 23:25:38.385 +08:00 [INF]                     - Volo.Abp.Uow.AbpUnitOfWorkModule
2022-02-28 23:25:38.385 +08:00 [INF]                     - Volo.Abp.EventBus.Abstractions.AbpEventBusAbstractionsModule
2022-02-28 23:25:38.386 +08:00 [INF]         - Volo.Abp.Identity.AbpIdentityDomainSharedModule
2022-02-28 23:25:38.387 +08:00 [INF]           - Volo.Abp.Users.AbpUsersDomainSharedModule
2022-02-28 23:25:38.388 +08:00 [INF]           - Volo.Abp.Features.AbpFeaturesModule
2022-02-28 23:25:38.389 +08:00 [INF]             - Volo.Abp.Authorization.AbpAuthorizationAbstractionsModule
2022-02-28 23:25:38.389 +08:00 [INF]         - Volo.Abp.IdentityServer.AbpIdentityServerDomainSharedModule
2022-02-28 23:25:38.391 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainSharedModule
2022-02-28 23:25:38.396 +08:00 [INF]         - Volo.Abp.SettingManagement.AbpSettingManagementDomainSharedModule
2022-02-28 23:25:38.397 +08:00 [INF]         - Volo.Abp.TenantManagement.AbpTenantManagementDomainSharedModule
2022-02-28 23:25:38.398 +08:00 [INF]         - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainSharedModule
2022-02-28 23:25:38.398 +08:00 [INF]         - Lion.AbpPro.FileManagement.FileManagementDomainSharedModule
2022-02-28 23:25:38.399 +08:00 [INF]       - Volo.Abp.Account.AbpAccountApplicationContractsModule
