2022-03-07 23:02:57.663 +08:00 [INF] Starting default Dispatcher
2022-03-07 23:02:57.721 +08:00 [INF] Starting the processing server.
2022-03-07 23:02:57.722 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleEto.Deleted
2022-03-07 23:02:57.723 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleNameChangedEto
2022-03-07 23:02:57.724 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Lion.AbpPro.NotificationManagement.Notifications.DistributedEvents.CreatedNotificationDistributedEvent
2022-03-07 23:02:57.735 +08:00 [INF] ### CAP started!
2022-03-07 23:02:57.755 +08:00 [INF] Loaded ABP modules:
2022-03-07 23:02:57.755 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-03-07 23:02:57.756 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-03-07 23:02:57.757 +08:00 [INF]     - Lion.AbpPro.AbpProApplicationContractsModule
2022-03-07 23:02:57.758 +08:00 [INF]       - Lion.AbpPro.AbpProDomainSharedModule
2022-03-07 23:02:57.758 +08:00 [INF]         - Volo.Abp.AuditLogging.AbpAuditLoggingDomainSharedModule
2022-03-07 23:02:57.759 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainSharedModule
2022-03-07 23:02:57.759 +08:00 [INF]         - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainSharedModule
2022-03-07 23:02:57.760 +08:00 [INF]           - Volo.Abp.Validation.AbpValidationModule
2022-03-07 23:02:57.760 +08:00 [INF]             - Volo.Abp.Validation.AbpValidationAbstractionsModule
2022-03-07 23:02:57.761 +08:00 [INF]             - Volo.Abp.Localization.AbpLocalizationModule
2022-03-07 23:02:57.762 +08:00 [INF]               - Volo.Abp.VirtualFileSystem.AbpVirtualFileSystemModule
2022-03-07 23:02:57.763 +08:00 [INF]               - Volo.Abp.Settings.AbpSettingsModule
2022-03-07 23:02:57.763 +08:00 [INF]                 - Volo.Abp.Localization.AbpLocalizationAbstractionsModule
2022-03-07 23:02:57.764 +08:00 [INF]                 - Volo.Abp.Security.AbpSecurityModule
2022-03-07 23:02:57.765 +08:00 [INF]                 - Volo.Abp.MultiTenancy.AbpMultiTenancyModule
2022-03-07 23:02:57.765 +08:00 [INF]                   - Volo.Abp.Data.AbpDataModule
2022-03-07 23:02:57.766 +08:00 [INF]                     - Volo.Abp.ObjectExtending.AbpObjectExtendingModule
2022-03-07 23:02:57.767 +08:00 [INF]                     - Volo.Abp.Uow.AbpUnitOfWorkModule
2022-03-07 23:02:57.771 +08:00 [INF]                     - Volo.Abp.EventBus.Abstractions.AbpEventBusAbstractionsModule
