2022-03-16 18:06:46.715 +08:00 [INF] Creating key {94fc7eac-1b13-4030-bdb2-7347e2f13494} with creation date 2022-03-16 10:06:46Z, activation date 2022-03-16 10:06:46Z, and expiration date 2022-06-14 10:06:46Z.
2022-03-16 18:06:46.773 +08:00 [WRN] No XML encryptor configured. Key {94fc7eac-1b13-4030-bdb2-7347e2f13494} may be persisted to storage in unencrypted form.
2022-03-16 18:06:46.842 +08:00 [INF] Starting default Dispatcher
2022-03-16 18:06:46.871 +08:00 [INF] Starting the processing server.
2022-03-16 18:06:46.873 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleEto.Deleted
2022-03-16 18:06:46.874 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleNameChangedEto
2022-03-16 18:06:46.875 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Lion.AbpPro.NotificationManagement.Notifications.DistributedEvents.CreatedNotificationDistributedEvent
2022-03-16 18:06:46.888 +08:00 [INF] ### CAP started!
2022-03-16 18:06:46.898 +08:00 [INF] Loaded ABP modules:
2022-03-16 18:06:46.899 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-03-16 18:06:46.900 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-03-16 18:06:46.902 +08:00 [INF]     - Lion.AbpPro.AbpProApplicationContractsModule
2022-03-16 18:06:46.903 +08:00 [INF]       - Lion.AbpPro.AbpProDomainSharedModule
2022-03-16 18:06:46.904 +08:00 [INF]         - Volo.Abp.AuditLogging.AbpAuditLoggingDomainSharedModule
2022-03-16 18:06:46.904 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainSharedModule
2022-03-16 18:06:46.905 +08:00 [INF]         - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainSharedModule
2022-03-16 18:06:46.906 +08:00 [INF]           - Volo.Abp.Validation.AbpValidationModule
2022-03-16 18:06:46.907 +08:00 [INF]             - Volo.Abp.Validation.AbpValidationAbstractionsModule
2022-03-16 18:06:46.908 +08:00 [INF]             - Volo.Abp.Localization.AbpLocalizationModule
2022-03-16 18:06:46.909 +08:00 [INF]               - Volo.Abp.VirtualFileSystem.AbpVirtualFileSystemModule
2022-03-16 18:06:46.910 +08:00 [INF]               - Volo.Abp.Settings.AbpSettingsModule
2022-03-16 18:06:46.911 +08:00 [INF]                 - Volo.Abp.Localization.AbpLocalizationAbstractionsModule
2022-03-16 18:06:46.912 +08:00 [INF]                 - Volo.Abp.Security.AbpSecurityModule
2022-03-16 18:06:46.913 +08:00 [INF]                 - Volo.Abp.MultiTenancy.AbpMultiTenancyModule
2022-03-16 18:06:46.914 +08:00 [INF]                   - Volo.Abp.Data.AbpDataModule
2022-03-16 18:06:46.916 +08:00 [INF]                     - Volo.Abp.ObjectExtending.AbpObjectExtendingModule
2022-03-16 18:06:46.918 +08:00 [INF]                     - Volo.Abp.Uow.AbpUnitOfWorkModule
2022-03-16 18:06:46.919 +08:00 [INF]                     - Volo.Abp.EventBus.Abstractions.AbpEventBusAbstractionsModule
2022-03-16 18:06:46.920 +08:00 [INF]         - Volo.Abp.Identity.AbpIdentityDomainSharedModule
2022-03-16 18:06:46.921 +08:00 [INF]           - Volo.Abp.Users.AbpUsersDomainSharedModule
2022-03-16 18:06:46.922 +08:00 [INF]           - Volo.Abp.Features.AbpFeaturesModule
2022-03-16 18:06:46.923 +08:00 [INF]             - Volo.Abp.Authorization.AbpAuthorizationAbstractionsModule
2022-03-16 18:06:46.924 +08:00 [INF]         - Volo.Abp.IdentityServer.AbpIdentityServerDomainSharedModule
2022-03-16 18:06:46.925 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainSharedModule
2022-03-16 18:06:46.926 +08:00 [INF]         - Volo.Abp.SettingManagement.AbpSettingManagementDomainSharedModule
2022-03-16 18:06:46.927 +08:00 [INF]         - Volo.Abp.TenantManagement.AbpTenantManagementDomainSharedModule
2022-03-16 18:06:46.928 +08:00 [INF]         - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainSharedModule
2022-03-16 18:06:46.930 +08:00 [INF]         - Lion.AbpPro.FileManagement.FileManagementDomainSharedModule
2022-03-16 18:06:46.932 +08:00 [INF]       - Volo.Abp.Account.AbpAccountApplicationContractsModule
2022-03-16 18:06:46.933 +08:00 [INF]         - Volo.Abp.Identity.AbpIdentityApplicationContractsModule
2022-03-16 18:06:46.935 +08:00 [INF]           - Volo.Abp.Users.AbpUsersAbstractionModule
2022-03-16 18:06:46.936 +08:00 [INF]             - Volo.Abp.EventBus.AbpEventBusModule
2022-03-16 18:06:46.937 +08:00 [INF]               - Volo.Abp.Json.AbpJsonModule
2022-03-16 18:06:46.938 +08:00 [INF]                 - Volo.Abp.Timing.AbpTimingModule
2022-03-16 18:06:46.939 +08:00 [INF]               - Volo.Abp.Guids.AbpGuidsModule
2022-03-16 18:06:46.940 +08:00 [INF]               - Volo.Abp.BackgroundWorkers.AbpBackgroundWorkersModule
2022-03-16 18:06:46.941 +08:00 [INF]                 - Volo.Abp.Threading.AbpThreadingModule
2022-03-16 18:06:46.942 +08:00 [INF]               - Volo.Abp.DistributedLocking.AbpDistributedLockingAbstractionsModule
2022-03-16 18:06:46.943 +08:00 [INF]           - Volo.Abp.Authorization.AbpAuthorizationModule
2022-03-16 18:06:46.944 +08:00 [INF]           - Volo.Abp.PermissionManagement.AbpPermissionManagementApplicationContractsModule
2022-03-16 18:06:46.944 +08:00 [INF]             - Volo.Abp.Application.AbpDddApplicationContractsModule
2022-03-16 18:06:46.946 +08:00 [INF]               - Volo.Abp.Auditing.AbpAuditingContractsModule
2022-03-16 18:06:46.947 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementApplicationContractsModule
2022-03-16 18:06:46.948 +08:00 [INF]       - Volo.Abp.SettingManagement.AbpSettingManagementApplicationContractsModule
2022-03-16 18:06:46.948 +08:00 [INF]       - Volo.Abp.TenantManagement.AbpTenantManagementApplicationContractsModule
2022-03-16 18:06:46.949 +08:00 [INF]       - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementApplicationContractsModule
2022-03-16 18:06:46.950 +08:00 [INF]       - Lion.AbpPro.FileManagement.FileManagementApplicationContractsModule
2022-03-16 18:06:46.951 +08:00 [INF]     - Volo.Abp.Account.AbpAccountHttpApiModule
2022-03-16 18:06:46.952 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityHttpApiModule
2022-03-16 18:06:46.953 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcModule
2022-03-16 18:06:46.954 +08:00 [INF]           - Volo.Abp.AspNetCore.AbpAspNetCoreModule
2022-03-16 18:06:46.954 +08:00 [INF]             - Volo.Abp.Auditing.AbpAuditingModule
2022-03-16 18:06:46.955 +08:00 [INF]             - Volo.Abp.Http.AbpHttpModule
2022-03-16 18:06:46.956 +08:00 [INF]               - Volo.Abp.Http.AbpHttpAbstractionsModule
2022-03-16 18:06:46.958 +08:00 [INF]               - Volo.Abp.Minify.AbpMinifyModule
2022-03-16 18:06:46.959 +08:00 [INF]             - Volo.Abp.ExceptionHandling.AbpExceptionHandlingModule
2022-03-16 18:06:46.960 +08:00 [INF]           - Volo.Abp.ApiVersioning.AbpApiVersioningAbstractionsModule
2022-03-16 18:06:46.961 +08:00 [INF]           - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcContractsModule
2022-03-16 18:06:46.963 +08:00 [INF]           - Volo.Abp.UI.Navigation.AbpUiNavigationModule
2022-03-16 18:06:46.964 +08:00 [INF]             - Volo.Abp.UI.AbpUiModule
2022-03-16 18:06:46.965 +08:00 [INF]           - Volo.Abp.GlobalFeatures.AbpGlobalFeaturesModule
2022-03-16 18:06:46.966 +08:00 [INF]           - Volo.Abp.Application.AbpDddApplicationModule
2022-03-16 18:06:46.967 +08:00 [INF]             - Volo.Abp.Domain.AbpDddDomainModule
2022-03-16 18:06:46.968 +08:00 [INF]               - Volo.Abp.ObjectMapping.AbpObjectMappingModule
2022-03-16 18:06:46.968 +08:00 [INF]               - Volo.Abp.Specifications.AbpSpecificationsModule
2022-03-16 18:06:46.969 +08:00 [INF]     - Volo.Abp.PermissionManagement.HttpApi.AbpPermissionManagementHttpApiModule
2022-03-16 18:06:46.970 +08:00 [INF]     - Volo.Abp.TenantManagement.AbpTenantManagementHttpApiModule
2022-03-16 18:06:46.971 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementHttpApiModule
2022-03-16 18:06:46.972 +08:00 [INF]     - Volo.Abp.SettingManagement.AbpSettingManagementHttpApiModule
2022-03-16 18:06:46.973 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementHttpApiModule
2022-03-16 18:06:46.974 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.NotificationManagementHttpApiModule
2022-03-16 18:06:46.976 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementApplicationContractsModule
2022-03-16 18:06:46.977 +08:00 [INF]         - Lion.AbpPro.NotificationManagement.NotificationManagementDomainSharedModule
2022-03-16 18:06:46.979 +08:00 [INF]     - Lion.AbpPro.FileManagement.FileManagementHttpApiModule
2022-03-16 18:06:46.981 +08:00 [INF]   - Lion.AbpPro.Shared.Hosting.Microservices.SharedHostingMicroserviceModule
2022-03-16 18:06:46.983 +08:00 [INF]     - Volo.Abp.Swashbuckle.AbpSwashbuckleModule
2022-03-16 18:06:46.984 +08:00 [INF]     - Volo.Abp.Autofac.AbpAutofacModule
2022-03-16 18:06:46.985 +08:00 [INF]       - Volo.Abp.Castle.AbpCastleCoreModule
2022-03-16 18:06:46.986 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.UI.MultiTenancy.AbpAspNetCoreMvcUiMultiTenancyModule
2022-03-16 18:06:46.987 +08:00 [INF]     - Volo.Abp.AspNetCore.Mvc.UI.Theme.Shared.AbpAspNetCoreMvcUiThemeSharedModule
2022-03-16 18:06:46.988 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Bootstrap.AbpAspNetCoreMvcUiBootstrapModule
2022-03-16 18:06:46.989 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.AbpAspNetCoreMvcUiModule
2022-03-16 18:06:46.990 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Packages.AbpAspNetCoreMvcUiPackagesModule
2022-03-16 18:06:46.991 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingAbstractionsModule
2022-03-16 18:06:46.993 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Widgets.AbpAspNetCoreMvcUiWidgetsModule
2022-03-16 18:06:46.998 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingModule
2022-03-16 18:06:46.999 +08:00 [INF]     - Volo.Abp.AspNetCore.MultiTenancy.AbpAspNetCoreMultiTenancyModule
2022-03-16 18:06:47.000 +08:00 [INF]   - Lion.AbpPro.EntityFrameworkCore.AbpProEntityFrameworkCoreModule
2022-03-16 18:06:47.001 +08:00 [INF]     - Lion.AbpPro.AbpProDomainModule
2022-03-16 18:06:47.002 +08:00 [INF]       - Volo.Abp.AuditLogging.AbpAuditLoggingDomainModule
2022-03-16 18:06:47.003 +08:00 [INF]       - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainModule
