2022-04-15 10:22:40.839 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-15 10:22:41.051 +08:00 [INF] Starting default Dispatcher
2022-04-15 10:22:41.180 +08:00 [INF] Starting the processing server.
2022-04-15 10:22:41.210 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-rkeZYWKyHJ9TZDeTzDRanw
2022-04-15 10:22:41.255 +08:00 [INF] ### CAP started!
2022-04-15 10:22:41.265 +08:00 [INF] Loaded ABP modules:
2022-04-15 10:22:41.266 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-15 10:22:41.267 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-15 10:22:41.268 +08:00 [INF]     - Lion.AbpPro.AbpProApplicationContractsModule
2022-04-15 10:22:41.271 +08:00 [INF]       - Lion.AbpPro.AbpProDomainSharedModule
2022-04-15 10:22:41.272 +08:00 [INF]         - Volo.Abp.AuditLogging.AbpAuditLoggingDomainSharedModule
2022-04-15 10:22:41.274 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainSharedModule
2022-04-15 10:22:41.275 +08:00 [INF]         - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainSharedModule
2022-04-15 10:22:41.276 +08:00 [INF]           - Volo.Abp.Validation.AbpValidationModule
2022-04-15 10:22:41.277 +08:00 [INF]             - Volo.Abp.Validation.AbpValidationAbstractionsModule
2022-04-15 10:22:41.278 +08:00 [INF]             - Volo.Abp.Localization.AbpLocalizationModule
2022-04-15 10:22:41.280 +08:00 [INF]               - Volo.Abp.VirtualFileSystem.AbpVirtualFileSystemModule
2022-04-15 10:22:41.281 +08:00 [INF]               - Volo.Abp.Settings.AbpSettingsModule
2022-04-15 10:22:41.282 +08:00 [INF]                 - Volo.Abp.Localization.AbpLocalizationAbstractionsModule
2022-04-15 10:22:41.283 +08:00 [INF]                 - Volo.Abp.Security.AbpSecurityModule
2022-04-15 10:22:41.286 +08:00 [INF]                 - Volo.Abp.MultiTenancy.AbpMultiTenancyModule
2022-04-15 10:22:41.289 +08:00 [INF]                   - Volo.Abp.Data.AbpDataModule
2022-04-15 10:22:41.294 +08:00 [INF]                     - Volo.Abp.ObjectExtending.AbpObjectExtendingModule
2022-04-15 10:22:41.295 +08:00 [INF]                     - Volo.Abp.Uow.AbpUnitOfWorkModule
2022-04-15 10:22:41.297 +08:00 [INF]                     - Volo.Abp.EventBus.Abstractions.AbpEventBusAbstractionsModule
2022-04-15 10:22:41.298 +08:00 [INF]         - Volo.Abp.Identity.AbpIdentityDomainSharedModule
2022-04-15 10:22:41.299 +08:00 [INF]           - Volo.Abp.Users.AbpUsersDomainSharedModule
2022-04-15 10:22:41.303 +08:00 [INF]           - Volo.Abp.Features.AbpFeaturesModule
2022-04-15 10:22:41.307 +08:00 [INF]             - Volo.Abp.Authorization.AbpAuthorizationAbstractionsModule
2022-04-15 10:22:41.309 +08:00 [INF]         - Volo.Abp.IdentityServer.AbpIdentityServerDomainSharedModule
2022-04-15 10:22:41.310 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainSharedModule
2022-04-15 10:22:41.312 +08:00 [INF]         - Volo.Abp.SettingManagement.AbpSettingManagementDomainSharedModule
2022-04-15 10:22:41.313 +08:00 [INF]         - Volo.Abp.TenantManagement.AbpTenantManagementDomainSharedModule
2022-04-15 10:22:41.314 +08:00 [INF]         - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainSharedModule
2022-04-15 10:22:41.315 +08:00 [INF]         - Lion.AbpPro.FileManagement.FileManagementDomainSharedModule
2022-04-15 10:22:41.319 +08:00 [INF]       - Volo.Abp.Account.AbpAccountApplicationContractsModule
2022-04-15 10:22:41.324 +08:00 [INF]         - Volo.Abp.Identity.AbpIdentityApplicationContractsModule
2022-04-15 10:22:41.326 +08:00 [INF]           - Volo.Abp.Users.AbpUsersAbstractionModule
2022-04-15 10:22:41.327 +08:00 [INF]             - Volo.Abp.EventBus.AbpEventBusModule
2022-04-15 10:22:41.329 +08:00 [INF]               - Volo.Abp.Json.AbpJsonModule
2022-04-15 10:22:41.330 +08:00 [INF]                 - Volo.Abp.Timing.AbpTimingModule
2022-04-15 10:22:41.333 +08:00 [INF]               - Volo.Abp.Guids.AbpGuidsModule
2022-04-15 10:22:41.335 +08:00 [INF]               - Volo.Abp.BackgroundWorkers.AbpBackgroundWorkersModule
2022-04-15 10:22:41.338 +08:00 [INF]                 - Volo.Abp.Threading.AbpThreadingModule
2022-04-15 10:22:41.340 +08:00 [INF]               - Volo.Abp.DistributedLocking.AbpDistributedLockingAbstractionsModule
2022-04-15 10:22:41.341 +08:00 [INF]           - Volo.Abp.Authorization.AbpAuthorizationModule
2022-04-15 10:22:41.342 +08:00 [INF]           - Volo.Abp.PermissionManagement.AbpPermissionManagementApplicationContractsModule
2022-04-15 10:22:41.343 +08:00 [INF]             - Volo.Abp.Application.AbpDddApplicationContractsModule
2022-04-15 10:22:41.344 +08:00 [INF]               - Volo.Abp.Auditing.AbpAuditingContractsModule
2022-04-15 10:22:41.349 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementApplicationContractsModule
2022-04-15 10:22:41.350 +08:00 [INF]       - Volo.Abp.SettingManagement.AbpSettingManagementApplicationContractsModule
2022-04-15 10:22:41.355 +08:00 [INF]       - Volo.Abp.TenantManagement.AbpTenantManagementApplicationContractsModule
2022-04-15 10:22:41.356 +08:00 [INF]       - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementApplicationContractsModule
2022-04-15 10:22:41.357 +08:00 [INF]       - Lion.AbpPro.FileManagement.FileManagementApplicationContractsModule
2022-04-15 10:22:41.359 +08:00 [INF]     - Volo.Abp.Account.AbpAccountHttpApiModule
2022-04-15 10:22:41.360 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityHttpApiModule
2022-04-15 10:22:41.363 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcModule
2022-04-15 10:22:41.364 +08:00 [INF]           - Volo.Abp.AspNetCore.AbpAspNetCoreModule
2022-04-15 10:22:41.366 +08:00 [INF]             - Volo.Abp.Auditing.AbpAuditingModule
2022-04-15 10:22:41.367 +08:00 [INF]             - Volo.Abp.Http.AbpHttpModule
2022-04-15 10:22:41.370 +08:00 [INF]               - Volo.Abp.Http.AbpHttpAbstractionsModule
2022-04-15 10:22:41.371 +08:00 [INF]               - Volo.Abp.Minify.AbpMinifyModule
2022-04-15 10:22:41.372 +08:00 [INF]             - Volo.Abp.ExceptionHandling.AbpExceptionHandlingModule
2022-04-15 10:22:41.374 +08:00 [INF]           - Volo.Abp.ApiVersioning.AbpApiVersioningAbstractionsModule
2022-04-15 10:22:41.375 +08:00 [INF]           - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcContractsModule
2022-04-15 10:22:41.378 +08:00 [INF]           - Volo.Abp.UI.Navigation.AbpUiNavigationModule
2022-04-15 10:22:41.380 +08:00 [INF]             - Volo.Abp.UI.AbpUiModule
2022-04-15 10:22:41.381 +08:00 [INF]           - Volo.Abp.GlobalFeatures.AbpGlobalFeaturesModule
2022-04-15 10:22:41.382 +08:00 [INF]           - Volo.Abp.Application.AbpDddApplicationModule
2022-04-15 10:22:41.383 +08:00 [INF]             - Volo.Abp.Domain.AbpDddDomainModule
2022-04-15 10:22:41.385 +08:00 [INF]               - Volo.Abp.ObjectMapping.AbpObjectMappingModule
2022-04-15 10:22:41.389 +08:00 [INF]               - Volo.Abp.Specifications.AbpSpecificationsModule
2022-04-15 10:22:41.390 +08:00 [INF]     - Volo.Abp.PermissionManagement.HttpApi.AbpPermissionManagementHttpApiModule
2022-04-15 10:22:41.396 +08:00 [INF]     - Volo.Abp.TenantManagement.AbpTenantManagementHttpApiModule
2022-04-15 10:22:41.398 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementHttpApiModule
2022-04-15 10:22:41.399 +08:00 [INF]     - Volo.Abp.SettingManagement.AbpSettingManagementHttpApiModule
2022-04-15 10:22:41.403 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementHttpApiModule
2022-04-15 10:22:41.405 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.NotificationManagementHttpApiModule
2022-04-15 10:22:41.406 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementApplicationContractsModule
2022-04-15 10:22:41.409 +08:00 [INF]         - Lion.AbpPro.NotificationManagement.NotificationManagementDomainSharedModule
2022-04-15 10:22:41.411 +08:00 [INF]     - Lion.AbpPro.FileManagement.FileManagementHttpApiModule
2022-04-15 10:22:41.412 +08:00 [INF]   - Lion.AbpPro.Shared.Hosting.Microservices.SharedHostingMicroserviceModule
2022-04-15 10:22:41.413 +08:00 [INF]     - Volo.Abp.Swashbuckle.AbpSwashbuckleModule
2022-04-15 10:22:41.415 +08:00 [INF]     - Volo.Abp.Autofac.AbpAutofacModule
2022-04-15 10:22:41.421 +08:00 [INF]       - Volo.Abp.Castle.AbpCastleCoreModule
2022-04-15 10:22:41.422 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.UI.MultiTenancy.AbpAspNetCoreMvcUiMultiTenancyModule
2022-04-15 10:22:41.426 +08:00 [INF]     - Volo.Abp.AspNetCore.Mvc.UI.Theme.Shared.AbpAspNetCoreMvcUiThemeSharedModule
2022-04-15 10:22:41.427 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Bootstrap.AbpAspNetCoreMvcUiBootstrapModule
2022-04-15 10:22:41.428 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.AbpAspNetCoreMvcUiModule
