2022-04-29 17:44:43.116 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-29 17:44:43.265 +08:00 [INF] Starting default Dispatcher
2022-04-29 17:44:43.411 +08:00 [INF] Starting the processing server.
2022-04-29 17:44:43.445 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-KgJLq5uj1udx54HbQpllTw
2022-04-29 17:44:43.476 +08:00 [INF] ### CAP started!
2022-04-29 17:44:43.486 +08:00 [INF] Loaded ABP modules:
2022-04-29 17:44:43.488 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-29 17:44:43.489 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-29 17:44:43.490 +08:00 [INF]     - Lion.AbpPro.AbpProApplicationContractsModule
2022-04-29 17:44:43.491 +08:00 [INF]       - Lion.AbpPro.AbpProDomainSharedModule
2022-04-29 17:44:43.493 +08:00 [INF]         - Volo.Abp.AuditLogging.AbpAuditLoggingDomainSharedModule
2022-04-29 17:44:43.493 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainSharedModule
2022-04-29 17:44:43.494 +08:00 [INF]         - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainSharedModule
2022-04-29 17:44:43.497 +08:00 [INF]           - Volo.Abp.Validation.AbpValidationModule
2022-04-29 17:44:43.500 +08:00 [INF]             - Volo.Abp.Validation.AbpValidationAbstractionsModule
2022-04-29 17:44:43.501 +08:00 [INF]             - Volo.Abp.Localization.AbpLocalizationModule
2022-04-29 17:44:43.506 +08:00 [INF]               - Volo.Abp.VirtualFileSystem.AbpVirtualFileSystemModule
2022-04-29 17:44:43.508 +08:00 [INF]               - Volo.Abp.Settings.AbpSettingsModule
2022-04-29 17:44:43.510 +08:00 [INF]                 - Volo.Abp.Localization.AbpLocalizationAbstractionsModule
2022-04-29 17:44:43.514 +08:00 [INF]                 - Volo.Abp.Security.AbpSecurityModule
2022-04-29 17:44:43.517 +08:00 [INF]                 - Volo.Abp.MultiTenancy.AbpMultiTenancyModule
2022-04-29 17:44:43.519 +08:00 [INF]                   - Volo.Abp.Data.AbpDataModule
2022-04-29 17:44:43.521 +08:00 [INF]                     - Volo.Abp.ObjectExtending.AbpObjectExtendingModule
2022-04-29 17:44:43.523 +08:00 [INF]                     - Volo.Abp.Uow.AbpUnitOfWorkModule
2022-04-29 17:44:43.524 +08:00 [INF]                     - Volo.Abp.EventBus.Abstractions.AbpEventBusAbstractionsModule
2022-04-29 17:44:43.529 +08:00 [INF]         - Volo.Abp.Identity.AbpIdentityDomainSharedModule
2022-04-29 17:44:43.536 +08:00 [INF]           - Volo.Abp.Users.AbpUsersDomainSharedModule
2022-04-29 17:44:43.539 +08:00 [INF]           - Volo.Abp.Features.AbpFeaturesModule
2022-04-29 17:44:43.541 +08:00 [INF]             - Volo.Abp.Authorization.AbpAuthorizationAbstractionsModule
2022-04-29 17:44:43.542 +08:00 [INF]         - Volo.Abp.IdentityServer.AbpIdentityServerDomainSharedModule
2022-04-29 17:44:43.544 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainSharedModule
2022-04-29 17:44:43.545 +08:00 [INF]         - Volo.Abp.SettingManagement.AbpSettingManagementDomainSharedModule
2022-04-29 17:44:43.546 +08:00 [INF]         - Volo.Abp.TenantManagement.AbpTenantManagementDomainSharedModule
2022-04-29 17:44:43.547 +08:00 [INF]         - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainSharedModule
2022-04-29 17:44:43.548 +08:00 [INF]         - Lion.AbpPro.FileManagement.FileManagementDomainSharedModule
2022-04-29 17:44:43.549 +08:00 [INF]       - Volo.Abp.Account.AbpAccountApplicationContractsModule
