2022-04-24 15:56:40.637 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-24 15:56:40.766 +08:00 [INF] Starting default Dispatcher
2022-04-24 15:56:40.858 +08:00 [INF] Starting the processing server.
2022-04-24 15:56:40.883 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-esjfjADrEC0ymXC_iZlyIQ
2022-04-24 15:56:40.920 +08:00 [INF] ### CAP started!
2022-04-24 15:56:40.929 +08:00 [INF] Loaded ABP modules:
2022-04-24 15:56:40.931 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-24 15:56:40.932 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-24 15:56:40.933 +08:00 [INF]     - Lion.AbpPro.AbpProApplicationContractsModule
2022-04-24 15:56:40.934 +08:00 [INF]       - Lion.AbpPro.AbpProDomainSharedModule
2022-04-24 15:56:40.935 +08:00 [INF]         - Volo.Abp.AuditLogging.AbpAuditLoggingDomainSharedModule
2022-04-24 15:56:40.937 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainSharedModule
2022-04-24 15:56:40.938 +08:00 [INF]         - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainSharedModule
2022-04-24 15:56:40.939 +08:00 [INF]           - Volo.Abp.Validation.AbpValidationModule
2022-04-24 15:56:40.940 +08:00 [INF]             - Volo.Abp.Validation.AbpValidationAbstractionsModule
2022-04-24 15:56:40.942 +08:00 [INF]             - Volo.Abp.Localization.AbpLocalizationModule
2022-04-24 15:56:40.943 +08:00 [INF]               - Volo.Abp.VirtualFileSystem.AbpVirtualFileSystemModule
2022-04-24 15:56:40.944 +08:00 [INF]               - Volo.Abp.Settings.AbpSettingsModule
2022-04-24 15:56:40.944 +08:00 [INF]                 - Volo.Abp.Localization.AbpLocalizationAbstractionsModule
2022-04-24 15:56:40.945 +08:00 [INF]                 - Volo.Abp.Security.AbpSecurityModule
2022-04-24 15:56:40.946 +08:00 [INF]                 - Volo.Abp.MultiTenancy.AbpMultiTenancyModule
2022-04-24 15:56:40.947 +08:00 [INF]                   - Volo.Abp.Data.AbpDataModule
2022-04-24 15:56:40.948 +08:00 [INF]                     - Volo.Abp.ObjectExtending.AbpObjectExtendingModule
2022-04-24 15:56:40.954 +08:00 [INF]                     - Volo.Abp.Uow.AbpUnitOfWorkModule
2022-04-24 15:56:40.955 +08:00 [INF]                     - Volo.Abp.EventBus.Abstractions.AbpEventBusAbstractionsModule
2022-04-24 15:56:40.957 +08:00 [INF]         - Volo.Abp.Identity.AbpIdentityDomainSharedModule
2022-04-24 15:56:40.958 +08:00 [INF]           - Volo.Abp.Users.AbpUsersDomainSharedModule
2022-04-24 15:56:40.960 +08:00 [INF]           - Volo.Abp.Features.AbpFeaturesModule
2022-04-24 15:56:40.960 +08:00 [INF]             - Volo.Abp.Authorization.AbpAuthorizationAbstractionsModule
2022-04-24 15:56:40.961 +08:00 [INF]         - Volo.Abp.IdentityServer.AbpIdentityServerDomainSharedModule
2022-04-24 15:56:40.962 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainSharedModule
2022-04-24 15:56:40.963 +08:00 [INF]         - Volo.Abp.SettingManagement.AbpSettingManagementDomainSharedModule
2022-04-24 15:56:40.963 +08:00 [INF]         - Volo.Abp.TenantManagement.AbpTenantManagementDomainSharedModule
2022-04-24 15:56:40.964 +08:00 [INF]         - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainSharedModule
2022-04-24 15:56:40.965 +08:00 [INF]         - Lion.AbpPro.FileManagement.FileManagementDomainSharedModule
2022-04-24 15:56:40.966 +08:00 [INF]       - Volo.Abp.Account.AbpAccountApplicationContractsModule
2022-04-24 15:56:40.969 +08:00 [INF]         - Volo.Abp.Identity.AbpIdentityApplicationContractsModule
2022-04-24 15:56:40.970 +08:00 [INF]           - Volo.Abp.Users.AbpUsersAbstractionModule
2022-04-24 15:56:40.971 +08:00 [INF]             - Volo.Abp.EventBus.AbpEventBusModule
2022-04-24 15:56:40.972 +08:00 [INF]               - Volo.Abp.Json.AbpJsonModule
2022-04-24 15:56:40.972 +08:00 [INF]                 - Volo.Abp.Timing.AbpTimingModule
2022-04-24 15:56:40.973 +08:00 [INF]               - Volo.Abp.Guids.AbpGuidsModule
2022-04-24 15:56:40.974 +08:00 [INF]               - Volo.Abp.BackgroundWorkers.AbpBackgroundWorkersModule
2022-04-24 15:56:40.975 +08:00 [INF]                 - Volo.Abp.Threading.AbpThreadingModule
2022-04-24 15:56:40.975 +08:00 [INF]               - Volo.Abp.DistributedLocking.AbpDistributedLockingAbstractionsModule
2022-04-24 15:56:40.976 +08:00 [INF]           - Volo.Abp.Authorization.AbpAuthorizationModule
2022-04-24 15:56:40.977 +08:00 [INF]           - Volo.Abp.PermissionManagement.AbpPermissionManagementApplicationContractsModule
2022-04-24 15:56:40.977 +08:00 [INF]             - Volo.Abp.Application.AbpDddApplicationContractsModule
2022-04-24 15:56:40.978 +08:00 [INF]               - Volo.Abp.Auditing.AbpAuditingContractsModule
2022-04-24 15:56:40.979 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementApplicationContractsModule
2022-04-24 15:56:40.980 +08:00 [INF]       - Volo.Abp.SettingManagement.AbpSettingManagementApplicationContractsModule
2022-04-24 15:56:40.981 +08:00 [INF]       - Volo.Abp.TenantManagement.AbpTenantManagementApplicationContractsModule
2022-04-24 15:56:40.981 +08:00 [INF]       - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementApplicationContractsModule
2022-04-24 15:56:40.982 +08:00 [INF]       - Lion.AbpPro.FileManagement.FileManagementApplicationContractsModule
2022-04-24 15:56:40.987 +08:00 [INF]     - Volo.Abp.Account.AbpAccountHttpApiModule
2022-04-24 15:56:40.987 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityHttpApiModule
2022-04-24 15:56:40.988 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcModule
2022-04-24 15:56:40.989 +08:00 [INF]           - Volo.Abp.AspNetCore.AbpAspNetCoreModule
2022-04-24 15:56:40.990 +08:00 [INF]             - Volo.Abp.Auditing.AbpAuditingModule
2022-04-24 15:56:40.991 +08:00 [INF]             - Volo.Abp.Http.AbpHttpModule
2022-04-24 15:56:40.992 +08:00 [INF]               - Volo.Abp.Http.AbpHttpAbstractionsModule
2022-04-24 15:56:40.992 +08:00 [INF]               - Volo.Abp.Minify.AbpMinifyModule
2022-04-24 15:56:40.993 +08:00 [INF]             - Volo.Abp.ExceptionHandling.AbpExceptionHandlingModule
2022-04-24 15:56:40.994 +08:00 [INF]           - Volo.Abp.ApiVersioning.AbpApiVersioningAbstractionsModule
2022-04-24 15:56:40.995 +08:00 [INF]           - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcContractsModule
